model,encoding,gamma,encoding_strength,coupling_strength,NRMSE
DV-QRC,Local,10,0.046415888336127774,2.1544346900318823e-05,0.16731346378321349
DV-QRC,Local,10,0.046415888336127774,4.6415888336127818e-05,0.16708242481213442
DV-QRC,Local,10,0.046415888336127774,0.0001,0.1668273646431368
DV-QRC,Local,10,0.046415888336127774,0.00021544346900318823,0.16691257615612823
DV-QRC,Local,10,0.046415888336127774,0.00046415888336127773,0.16589024998859098
DV-QRC,Local,10,0.046415888336127774,0.001,0.15577944756710468
DV-QRC,Local,10,0.046415888336127774,0.0021544346900318821,0.14620668650667046
DV-QRC,Local,10,0.046415888336127774,0.0046415888336127772,0.13630957866328433
DV-QRC,Local,10,0.046415888336127774,0.01,0.12761364141198306
DV-QRC,Local,10,0.046415888336127774,0.021544346900318822,0.11984972805351508
DV-QRC,Local,10,0.046415888336127774,0.046415888336127774,0.11391228096437664
DV-QRC,Local,10,0.046415888336127774,0.10000000000000001,0.1110719604721836
DV-QRC,Local,10,0.046415888336127774,0.21544346900318823,0.11004029416236916
DV-QRC,Local,10,0.046415888336127774,0.46415888336127725,0.1089468625227427
DV-QRC,Local,10,0.046415888336127774,1,0.10692128342094402
DV-QRC,Local,10,0.046415888336127774,2.154434690031882,0.10436863465353612
DV-QRC,Local,10,0.046415888336127774,4.6415888336127722,0.10387736033745151
DV-QRC,Local,10,0.046415888336127774,10,0.10805376551224519
DV-QRC,Local,10,0.10000000000000001,1.0000000000000001e-05,0.15916075478436101
DV-QRC,Local,10,0.10000000000000001,2.1544346900318823e-05,0.15757830434947456
DV-QRC,Local,10,0.10000000000000001,4.6415888336127818e-05,0.15716472678441579
DV-QRC,Local,10,0.10000000000000001,0.0001,0.15670757297808324
DV-QRC,Local,10,0.10000000000000001,0.00021544346900318823,0.15692937708548213
DV-QRC,Local,10,0.10000000000000001,0.00046415888336127773,0.14995477847112554
DV-QRC,Local,10,0.10000000000000001,0.001,0.14177723481561091
DV-QRC,Local,10,0.10000000000000001,0.0021544346900318821,0.12815830049301505
DV-QRC,Local,10,0.10000000000000001,0.0046415888336127772,0.11634559843596226
DV-QRC,Local,10,0.10000000000000001,0.01,0.10809477491101885
DV-QRC,Local,10,0.10000000000000001,0.021544346900318822,0.10374847248912762
DV-QRC,Local,10,0.10000000000000001,0.046415888336127774,0.10182216281145817
DV-QRC,Local,10,0.10000000000000001,0.10000000000000001,0.10065069636414029
DV-QRC,Local,10,0.10000000000000001,0.21544346900318823,0.099811521724048988
DV-QRC,Local,10,0.10000000000000001,0.46415888336127725,0.098090794627277614
DV-QRC,Local,10,0.10000000000000001,1,0.094991586365671413
DV-QRC,Local,10,0.10000000000000001,2.154434690031882,0.090933176046992831
DV-QRC,Local,10,0.10000000000000001,4.6415888336127722,0.091467912472994378
DV-QRC,Local,10,0.10000000000000001,10,0.074269689397694127
DV-QRC,Local,10,0.21544346900318823,1.0000000000000001e-05,0.1330102843470771
DV-QRC,Local,10,0.21544346900318823,2.1544346900318823e-05,0.12836349748445833
DV-QRC,Local,10,0.21544346900318823,4.6415888336127818e-05,0.12586209488588634
DV-QRC,Local,10,0.21544346900318823,0.0001,0.12138054186401119
DV-QRC,Local,10,0.21544346900318823,0.00021544346900318823,0.1218764047277541
DV-QRC,Local,10,0.21544346900318823,0.00046415888336127773,0.11660334831993775
DV-QRC,Local,10,0.21544346900318823,0.001,0.1044786491386179
DV-QRC,Local,10,0.21544346900318823,0.0021544346900318821,0.091821353434594438
DV-QRC,Local,10,0.21544346900318823,0.0046415888336127772,0.086944189934447941
DV-QRC,Local,10,0.21544346900318823,0.01,0.085904849245611287
DV-QRC,Local,10,0.21544346900318823,0.021544346900318822,0.086374468345901512
DV-QRC,Local,10,0.21544346900318823,0.046415888336127774,0.087023575312078438
DV-QRC,Local,10,0.21544346900318823,0.10000000000000001,0.087007364416524915
DV-QRC,Local,10,0.21544346900318823,0.21544346900318823,0.085388357479873986
DV-QRC,Local,10,0.21544346900318823,0.46415888336127725,0.083241766791385979
