model,encoding,gamma,encoding_strength,coupling_strength,C_mix
DV-QRC,Clustered,4,0.001,10,0.7712186607513063
DV-QRC,Clustered,4,0.0021544346900318821,1.0000000000000001e-05,0.40882386363838924
DV-QRC,Clustered,4,0.0021544346900318821,2.1544346900318823e-05,0.55328197972809567
DV-QRC,Clustered,4,0.0021544346900318821,4.6415888336127818e-05,0.74781034534606294
DV-QRC,Clustered,4,0.0021544346900318821,0.0001,1.0045903064560719
DV-QRC,Clustered,4,0.0021544346900318821,0.00021544346900318823,1.2742778998649129
DV-QRC,Clustered,4,0.0021544346900318821,0.00046415888336127773,1.5151879826531529
DV-QRC,Clustered,4,0.0021544346900318821,0.001,1.7115817603440098
DV-QRC,Clustered,4,0.0021544346900318821,0.0021544346900318821,1.831250152597691
DV-QRC,Clustered,4,0.0021544346900318821,0.0046415888336127772,1.8950440848061745
DV-QRC,Clustered,4,0.0021544346900318821,0.01,1.9300800780865892
DV-QRC,Clustered,4,0.0021544346900318821,0.021544346900318822,1.9561239183149552
DV-QRC,Clustered,4,0.0021544346900318821,0.046415888336127774,1.9904976661203251
DV-QRC,Clustered,4,0.0021544346900318821,0.10000000000000001,2.0229361601717168
DV-QRC,Clustered,4,0.0021544346900318821,0.21544346900318823,2.0382588031148159
DV-QRC,Clustered,4,0.0021544346900318821,0.46415888336127725,2.0694596583718616
DV-QRC,Clustered,4,0.0021544346900318821,1,2.1823381429491056
DV-QRC,Clustered,4,0.0021544346900318821,2.154434690031882,2.0856241470096197
DV-QRC,Clustered,4,0.0021544346900318821,4.6415888336127722,1.6234651018106405
DV-QRC,Clustered,4,0.0021544346900318821,10,1.2142835180075979
DV-QRC,Clustered,4,0.0046415888336127772,1.0000000000000001e-05,0.34806533225246161
DV-QRC,Clustered,4,0.0046415888336127772,2.1544346900318823e-05,0.53111784506246751
DV-QRC,Clustered,4,0.0046415888336127772,4.6415888336127818e-05,0.75388762728979419
DV-QRC,Clustered,4,0.0046415888336127772,0.0001,1.0268481167248571
DV-QRC,Clustered,4,0.0046415888336127772,0.00021544346900318823,1.3473886668722104
DV-QRC,Clustered,4,0.0046415888336127772,0.00046415888336127773,1.6807612678273087
DV-QRC,Clustered,4,0.0046415888336127772,0.001,1.9739663413468653
DV-QRC,Clustered,4,0.0046415888336127772,0.0021544346900318821,2.2141620504810788
DV-QRC,Clustered,4,0.0046415888336127772,0.0046415888336127772,2.3803742527954759
DV-QRC,Clustered,4,0.0046415888336127772,0.01,2.4722283567930625
DV-QRC,Clustered,4,0.0046415888336127772,0.021544346900318822,2.5237306687472323
DV-QRC,Clustered,4,0.0046415888336127772,0.046415888336127774,2.5471865143799772
DV-QRC,Clustered,4,0.0046415888336127772,0.10000000000000001,2.5623556021869462
